Plant Name,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Drug Score,Mutagenecity,Tumerogenicity,Irritant,Drug likeliness
Justicia gendarussa,Friedlein,O=C1CCC2C(C1C)(C)CCC1C2(C)CCC2(C1(C)CCC1(C2CC(C)(C)CC1)C)C,C30H50O,426.72,31,0,0.97,0,1,0,134.39,17.07,4.52,9.8,8.46,6.92,7.52,7.44,-8.66,9.34E-07,2.19E-09,Poorly soluble,-10.08,3.56E-08,8.33E-11,Insoluble,-7.88,5.66E-06,1.33E-08,Poorly soluble,Low,No,No,No,No,No,No,No,-1.94,1,3,0,1,2,0.55,0,0,2,5.17,0.13,no,no,no,-3.31
Rhinacanthus nasutus,Rhinacanthin E,COC(=O)/C(=C\c1ccc2c(c1)OCO2)/[C@@H](C(=O)OC)Cc1cc(OC)c2c(c1)OCO2,C23H22O9,442.42,32,12,0.3,9,9,0,111.05,98.75,4.04,3.59,2.63,1.93,4.04,3.24,-4.53,1.31E-02,2.96E-05,Moderately soluble,-5.35,1.97E-03,4.46E-06,Moderately soluble,-5.13,3.30E-03,7.46E-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.45,0,0,0,0,0,0.55,0,2,3,4.2,0.28,no,no,no,0.62
Rhinacanthus nasutus,Rhinacanthin F,COC(=O)[C@H]([C@@H](C(=O)OC)Cc1ccc2c(c1)OCO2)Cc1cc(OC)c2c(c1)OCO2,C23H24O9,444.43,32,12,0.39,10,9,0,110.73,98.75,4.12,3.45,2.52,2,4.2,3.26,-4.39,1.83E-02,4.11E-05,Moderately soluble,-5.21,2.77E-03,6.24E-06,Moderately soluble,-5.49,1.44E-03,3.25E-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.56,0,0,0,0,0,0.55,0,1,2,4.12,0.46,no,no,no,0.31
Rhinacanthus nasutus,Wogonin,COc1c(O)cc(c2c1oc(cc2=O)c1ccccc1)O,C16H12O5,284.26,21,16,0.06,2,5,2,78.46,79.9,2.55,3.49,2.88,0.77,3.03,2.54,-4.23,1.66E-02,5.85E-05,Moderately soluble,-4.85,4.01E-03,1.41E-05,Moderately soluble,-5.1,2.25E-03,7.91E-06,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-5.56,0,0,0,0,0,0.55,0,0,0,3.15,0.44,Yes,no,no,0.87
Rhinacanthus nasutus,4-Hydroxybenzaldehyde,O=Cc1ccc(cc1)O,C7H6O2,122.12,9,6,0,1,2,1,33.85,37.3,0.99,1.35,1.2,0.79,1.52,1.17,-1.87,1.63E+00,1.33E-02,Very soluble,-1.74,2.25E+00,1.84E-02,Very soluble,-1.72,2.31E+00,1.89E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.09,0,3,0,0,1,0.55,0,1,1,1,0.17,Yes,no,yes,-6.31
Rhinacanthus nasutus,Lupeol,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,C30H50O,426.72,31,0,0.93,1,1,1,135.14,20.23,4.72,9.87,8.02,6.92,6.82,7.27,-8.64,9.83E-07,2.30E-09,Poorly soluble,-10.22,2.58E-08,6.05E-11,Insoluble,-6.74,7.69E-05,1.80E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-1.9,1,3,0,1,2,0.55,0,1,2,5.49,0.13,no,no,no,-22.1
Rhinacanthus nasutus,Oroxylin A,COc1c(O)cc2c(c1O)c(=O)cc(o2)c1ccccc1,C16H12O5,284.26,21,16,0.06,2,5,2,78.46,79.9,2.61,3.49,2.88,0.77,3.03,2.56,-4.23,1.66E-02,5.85E-05,Moderately soluble,-4.85,4.01E-03,1.41E-05,Moderately soluble,-5.1,2.25E-03,7.91E-06,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-5.56,0,0,0,0,0,0.55,0,0,0,3.1,0.73,no,no,no,0.87
Rhinacanthus nasutus,Allantoin,NC(=O)N[C@@H]1NC(=O)NC1=O,C4H6N4O3,158.12,11,0,0.25,2,3,4,39.55,113.32,-0.28,-2.17,-2.94,-2.66,-2.03,-2.02,0.68,7.55E+02,4.77E+00,Highly soluble,0.32,3.31E+02,2.09E+00,Highly soluble,0.01,1.62E+02,1.02E+00,Soluble,Low,No,No,No,No,No,No,No,-8.81,0,4,0,0,3,0.55,0,1,1,2.42,0.96,NO,no,no,2.96
Rhinacanthus nasutus,Syringaldehyde,COc1cc(C=O)cc(c1O)OC,C9H10O4,182.17,13,6,0.22,3,4,1,46.84,55.76,1.66,-0.01,1.22,0.24,1.51,0.93,-1.11,1.42E+01,7.82E-02,Very soluble,-0.71,3.54E+01,1.94E-01,Very soluble,-2.03,1.72E+00,9.42E-03,Soluble,High,Yes,No,No,No,No,No,No,-7.42,0,0,0,0,1,0.55,0,1,1,1.49,0.56,NO,no,no,-1.57
Rhinacanthus nasutus,Methyl vanillate,COC(=O)c1ccc(c(c1)OC)O,C9H10O4,182.17,13,6,0.22,3,4,1,46.24,55.76,2.13,1.76,1.19,1.06,1.23,1.47,-2.22,1.09E+00,6.00E-03,Soluble,-2.55,5.15E-01,2.83E-03,Soluble,-2.03,1.72E+00,9.42E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.16,0,0,0,0,1,0.55,0,0,1,1.67,0.51,NO,no,no,-2.7
Rhinacanthus nasutus,Dehydro-alpha-lapachone,O=C1C2=C(C=CC(O2)(C)C)C(=O)c2c1cccc2,C15H12O3,240.25,18,6,0.2,0,3,0,66.81,43.37,2.32,2.59,2.68,1.32,3.12,2.41,-3.21,1.49E-01,6.20E-04,Soluble,-3.15,1.70E-01,7.09E-04,Soluble,-4.13,1.80E-02,7.48E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-5.93,0,0,0,0,0,0.85,1,0,1,3.56,0.44,no,no,no,-3.57
Rhinacanthus nasutus,Rhinacanthin A,O=C1C2=C(C[C@H](C(O2)(C)C)O)C(=O)c2c1cccc2,C15H14O4,258.27,19,6,0.33,0,4,1,68.45,63.6,2.01,1.67,1.88,0.55,2.62,1.74,-2.73,4.84E-01,1.87E-03,Soluble,-2.62,6.20E-01,2.40E-03,Soluble,-3.79,4.23E-02,1.64E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.69,0,0,0,0,0,0.85,1,0,0,3.83,0.46,no,no,no,-2.66
Rhinacanthus nasutus,Rhinacanthin B,C/C=C(/CC/C=C(/C(=O)O[C@@H]1CC2=C(OC1(C)C)C(=O)c1c(C2=O)cccc1)\C)\C,C25H28O5,408.49,30,6,0.4,6,5,0,115.69,69.67,2.01,1.67,5.12,0.55,2.62,1.74,-2.73,4.84E-01,1.87E-03,Soluble,-2.62,6.20E-01,2.40E-03,Soluble,-3.79,4.23E-02,1.64E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.69,0,0,0,0,0,0.85,1,0,0,3.83,0.13,no,no,yes,-7.47
Rhinacanthus nasutus,Rhinacanthin C,C/C=C(/CC/C=C(/C(=O)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C)\C)\C,C25H30O5,410.5,30,6,0.4,9,5,1,118,80.67,2.01,1.67,5.53,0.55,2.62,1.74,-2.73,4.84E-01,1.87E-03,Soluble,-2.62,6.20E-01,2.40E-03,Soluble,-3.79,4.23E-02,1.64E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.69,0,0,0,0,0,0.85,1,0,0,3.83,0.12,no,no,yes,-7.5
Rhinacanthus nasutus,Rhinacanthin D,OC1=C(CC(COC(=O)c2ccc3c(c2)OCO3)(C)C)C(=O)c2c(C1=O)cccc2,C23H20O7,408.4,30,12,0.26,6,7,1,106.45,99.13,0,4.12,3.88,1.67,4.24,2.78,-4.87,5.54E-03,1.36E-05,Moderately soluble,-5.91,5.04E-04,1.24E-06,Moderately soluble,-6.19,2.66E-04,6.52E-07,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-5.87,0,0,0,0,0,0.56,1,0,2,3.61,0.16,no,no,yes,-3.15
Rhinacanthus nasutus,Rhinacanthin G,C/C(=C\CC[C@@]1(C)O[C@H]1C)/C(=O)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C,C25H30O6,426.5,31,6,0.48,9,6,1,117.48,93.2,3.91,4.41,4.74,1.82,5.66,4.11,-4.81,6.58E-03,1.54E-05,Moderately soluble,-6.08,3.51E-04,8.23E-07,Poorly soluble,-6.01,4.17E-04,9.77E-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.77,0,0,0,0,0,0.56,1,2,3,4.74,0.16,no,no,yes,-3.94
Rhinacanthus nasutus,Rhinacanthin H,C=C[C@@](CC/C=C(/C(=O)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C)\C)(O)C,C25H30O6,426.5,31,6,0.4,10,6,2,119.2,100.9,3.58,4.28,4.5,1.75,5.24,3.87,-4.66,9.25E-03,2.17E-05,Moderately soluble,-6.11,3.30E-04,7.74E-07,Poorly soluble,-5.49,1.37E-03,3.21E-06,Moderately soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-5.86,0,0,0,0,0,0.56,1,2,3,4.47,0.15,no,no,yes,-8.95
Rhinacanthus nasutus,Rhinacanthin I,C=C([C@H](O)C)CC/C=C(/C(=O)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C)\C,C25H30O6,426.5,31,6,0.4,10,6,2,119.16,100.9,3.83,4.62,4.5,1.75,5.24,3.99,-4.88,5.65E-03,1.32E-05,Moderately soluble,-6.46,1.46E-04,3.43E-07,Poorly soluble,-5.49,1.37E-03,3.21E-06,Moderately soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-5.62,0,0,0,0,0,0.56,1,2,3,4.5,0.14,no,no,yes,-8.68
Rhinacanthus nasutus,Rhinacanthin J,C/C(=C\CCC(=C)C(=O)C)/C(=O)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C,C25H28O6,424.49,31,6,0.36,10,6,1,118.2,97.74,3.4,4.33,4.71,1.67,5.56,3.93,-4.68,8.81E-03,2.08E-05,Moderately soluble,-6.1,3.40E-04,8.00E-07,Poorly soluble,-5.97,4.55E-04,1.07E-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-5.82,0,0,0,0,0,0.56,1,1,3,3.98,0.09,no,no,yes,-9.09
Rhinacanthus nasutus,Rhinacanthin K,C/C(=C\CC[C@]([C@H](O)C)(O)C)/C(=O)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C,C25H32O7,444.52,32,6,0.48,10,7,3,120.83,121.13,3.29,3.42,3.7,1.02,4.49,3.18,-4.23,2.62E-02,5.90E-05,Moderately soluble,-5.64,1.01E-03,2.27E-06,Moderately soluble,-4.89,5.73E-03,1.29E-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-6.58,0,0,0,0,0,0.56,1,1,2,4.87,0.18,NO,no,yes,-3.4
Rhinacanthus nasutus,Rhinacanthin L,C=C[C@@](CC[C@H]([C@](C(=O)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C)(O)C)O)(O)C,C25H32O8,460.52,33,6,0.48,11,8,4,122.03,141.36,3.39,2.5,2.67,0.24,3.9,2.54,-3.68,9.65E-02,2.10E-04,Soluble,-5.11,3.54E-03,7.69E-06,Moderately soluble,-4.32,2.22E-02,4.82E-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-7.33,0,0,2,1,0,0.56,1,1,2,5.11,0.15,Yes,no,yes,-8.41
Rhinacanthus nasutus,Rhinacanthin M,O=C(c1ccccc1)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C,C22H20O5,364.39,27,12,0.23,6,5,1,100.39,80.67,2.63,3.91,4.15,2.12,4.36,3.44,-4.5,1.16E-02,3.20E-05,Moderately soluble,-5.3,1.82E-03,4.98E-06,Moderately soluble,-6.47,1.24E-04,3.40E-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.75,0,0,0,0,0,0.56,1,0,2,3.37,0.19,NO,no,yes,-2.71
Rhinacanthus nasutus,Rhinacanthin N,COc1cc(C(=O)OCC(CC2=C(O)C(=O)c3c(C2=O)cccc3)(C)C)c(c2c1cccc2)O,C27H24O7,460.48,34,16,0.22,7,7,2,126.41,110.13,3.66,5.73,5.02,1.91,5.03,4.27,-6.19,2.97E-04,6.44E-07,Poorly soluble,-7.81,7.13E-06,1.55E-08,Poorly soluble,-7.61,1.13E-05,2.45E-08,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-5.04,0,0,0,0,1,0.56,1,0,2,3.81,0.07,NO,yes,yes,-3.57
Rhinacanthus nasutus,Rhinacanthin O,C/C(=C\CC[C@@]1(C)O[C@@H]1C)/C(=O)O[C@@H]1CC2=C(OC1(C)C)C(=O)c1c(C2=O)cccc1,C25H28O6,424.49,31,6,0.48,6,6,0,115.18,82.2,4,4.01,4.33,1.82,5.41,3.92,-4.75,7.63E-03,1.80E-05,Moderately soluble,-5.44,1.55E-03,3.64E-06,Moderately soluble,-6.06,3.72E-04,8.77E-07,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.04,0,0,0,0,0,0.56,1,2,2,5.27,0.27,no,no,no,-4.42
Rhinacanthus nasutus,Rhinacanthin P,C=C[C@](CC/C=C(/C(=O)O[C@@H]1CC2=C(OC1(C)C)C(=O)c1c(C2=O)cccc1)\C)(O)C,C25H28O6,424.49,31,6,0.4,7,6,1,116.89,89.9,2.96,3.88,4.09,1.75,4.99,3.53,-4.6,1.07E-02,2.53E-05,Moderately soluble,-5.47,1.45E-03,3.42E-06,Moderately soluble,-5.54,1.22E-03,2.88E-06,Moderately soluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.13,0,0,0,0,0,0.56,1,2,2,5.09,0.16,no,no,yes,-8.71
Rhinacanthus nasutus,Rhinacanthin Q,COc1c(cc(c2c1cccc2)OC)C(=O)OCC(CC1=C(O)C(=O)c2c(C1=O)cccc2)(C)C,C28H26O7,474.5,35,16,0.25,8,7,1,130.88,99.13,3.81,5.5,5.32,2.1,5.59,4.46,-6.06,4.16E-04,8.77E-07,Poorly soluble,-7.34,2.17E-05,4.57E-08,Poorly soluble,-8.3,2.38E-06,5.02E-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-5.29,0,1,0,0,1,0.56,1,0,3,3.92,0.11,no,no,yes,-3.57
Rhinacanthus nasutus,Rhinacanthone,O=C1C(=O)C2=C(c3c1cccc3)OCC(C2)(C)C,C15H14O3,242.27,18,6,0.33,0,3,0,67.56,43.37,2.2,2.41,2.61,1.4,3.53,2.43,-3.11,1.89E-01,7.82E-04,Soluble,-2.96,2.64E-01,1.09E-03,Soluble,-4.59,6.17E-03,2.55E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.07,0,0,0,0,0,0.85,2,1,1,3.24,0.26,no,no,no,-7.47
Avicennia marina,Betaine,[O-]C(=O)C[N+](C)(C)C,C5H11NO2,117.15,8,0,0.8,2,2,0,28.35,40.13,-2.19,-0.13,-1.56,-3.67,-0.91,-1.69,-0.35,5.20E+01,4.44E-01,Very soluble,-0.26,6.45E+01,5.51E-01,Very soluble,-0.82,1.76E+01,1.50E-01,Soluble,Low,No,No,No,No,No,No,No,-7.11,0,4,0,0,1,0.55,0,1,1,1,0.51,no,no,no,-3.85
Avicennia marina,Luteorin 5-methyl ether 3'-glucoside,OC[C@H]1O[C@@H](Oc2cc(ccc2O)c2cc(=O)c3c(o2)cc(cc3OC)O)[C@@H]([C@H]([C@@H]1O)O)O,C22H22O11,462.4,33,16,0.32,5,11,6,112.6,179.28,-0.6,1.23,0.06,-1.89,0.42,-0.16,-3.51,1.43E-01,3.09E-04,Soluble,-4.59,1.18E-02,2.56E-05,Moderately soluble,-2.79,7.48E-01,1.62E-03,Soluble,Low,No,No,No,No,No,No,Yes,-8.25,2,0,1,1,3,0.17,0,0,1,5.26,0.4,no,no,no,-3.12
Avicennia marina,Avicenol A,COc1c2ccccc2c(c2c1O[C@@H]([C@@H]2O)C(O)(C)C)OC,C17H20O5,304.34,22,10,0.41,3,5,2,83.06,68.15,2.75,2.56,2.1,1.05,2.51,2.19,-3.48,1.01E-01,3.33E-04,Soluble,-3.64,6.99E-02,2.30E-04,Soluble,-3.82,4.62E-02,1.52E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.34,0,0,0,0,0,0.55,0,0,0,3.77,0.34,Yes,yes,no,-1.03
Avicennia marina,Avicenol C,COc1c2C[C@@H](Oc2c(c2c1cccc2)OC)C(O)(C)C,C17H20O4,288.34,21,10,0.41,3,4,1,81.9,47.92,3.2,3.12,2.93,1.88,3.4,2.91,-3.75,5.15E-02,1.79E-04,Soluble,-3.8,4.62E-02,1.60E-04,Soluble,-4.63,6.73E-03,2.33E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.84,0,0,0,0,0,0.55,0,0,0,3.4,0.49,no,no,no,-1.07
Avicennia marina,Avicequinone A,O=C1c2ccccc2C(=O)C2=C1O[C@@H]([C@H]2O)C(O)(C)C,C15H14O5,274.27,20,6,0.33,1,5,2,69.61,83.83,1.64,1.11,0.85,-0.28,1.69,1,-2.4,1.10E+00,4.02E-03,Soluble,-2.46,9.43E-01,3.44E-03,Soluble,-2.76,4.80E-01,1.75E-03,Soluble,High,No,No,Yes,No,No,No,No,-7.18,0,0,0,0,0,0.56,1,0,0,4.07,0.48,no,no,no,-2.48
Avicennia marina,Avicequinone C,O=C1c2oc(cc2C(=O)c2c1cccc2)C(O)(C)C,C15H12O4,256.25,19,11,0.2,1,4,1,67.64,67.51,2.13,2.01,2.17,0.43,3.19,1.99,-3.06,2.24E-01,8.76E-04,Soluble,-3.05,2.26E-01,8.82E-04,Soluble,-4.71,5.01E-03,1.95E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-6.44,0,0,0,0,0,0.55,1,0,0,3.31,0.39,no,no,no,-2.69
Avicennia marina,Avicennone A,CO/C(=C/1\C[C@H](OC1=O)C(O)(C)C)/c1ccccc1C(=O)OC,C17H20O6,320.34,23,6,0.41,5,6,1,82.92,82.06,2.78,1.86,1.92,1.29,2.49,2.07,-2.86,4.41E-01,1.38E-03,Soluble,-3.2,2.00E-01,6.24E-04,Soluble,-3.37,1.38E-01,4.31E-04,Soluble,High,No,No,No,Yes,No,No,No,-6.93,0,0,0,0,0,0.56,0,3,0,3.84,0.27,no,no,no,-6.23
Avicennia marina,Avicennone B,CO/C(=C\1/C(=O)O[C@@H]([C@H]1O)C(O)(C)C)/c1ccccc1C(=O)OC,C17H20O7,336.34,24,6,0.41,5,7,2,84.08,102.29,1.98,1.3,0.89,0.49,1.62,1.25,-2.6,8.46E-01,2.52E-03,Soluble,-3.05,3.01E-01,8.95E-04,Soluble,-2.55,9.44E-01,2.81E-03,Soluble,High,No,No,No,No,No,No,No,-7.43,0,0,0,0,0,0.56,0,3,0,4.18,             O.27,no,no,no,-5.37
Avicennia marina,Avicennone C,CC(=CC[C@]12O[C@H]1[C@@H](O)c1c(C2=O)cccc1)C,C15H16O3,244.29,18,6,0.4,2,3,1,68.03,49.83,2.31,2.16,2.09,1.48,3.12,2.23,-2.83,3.61E-01,1.48E-03,Soluble,-2.84,3.54E-01,1.45E-03,Soluble,-3.36,1.08E-01,4.41E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,0,0.55,0,2,1,3.89,0.38,Yes,no,no,-0.28
Avicennia marina,Avicennone D,Oc1ccc2c(c1)C(=O)c1c(C2=O)occ1,C12H6O4,214.17,16,11,0,0,4,1,54.04,67.51,1.29,1.91,1.76,-0.1,2.45,1.46,-2.88,2.82E-01,1.32E-03,Soluble,-2.95,2.40E-01,1.12E-03,Soluble,-3.89,2.77E-02,1.29E-04,Soluble,High,Yes,No,Yes,No,No,No,Yes,-6.25,0,0,0,0,0,0.55,1,0,1,2.73,0.46,no,no,no,-1.99
Avicennia marina,Avicennone F,O=C1[C@H]2C[C@H](O[C@H]2[C@@H](c2c1cccc2)O)C(O)(C)C,C15H18O4,262.3,19,6,0.53,1,4,2,69.66,66.76,2.17,0.64,1.14,0.71,1.62,1.26,-2.04,2.41E+00,9.18E-03,Soluble,-1.62,6.33E+00,2.41E-02,Very soluble,-2.44,9.52E-01,3.63E-03,Soluble,High,Yes,No,No,No,No,No,No,-7.45,0,0,0,0,0,0.55,0,0,0,3.84,0.5,no,no,no,-2.42
Avicennia marina,Avicennone G,O[C@@H]1c2ccccc2C(=O)[C@@]2([C@H]1O[C@@H](C2)C(O)(C)C)O,C15H18O5,278.3,20,6,0.53,1,5,3,70.86,86.99,2,-0.13,0.25,-0.12,1.12,0.63,-1.64,6.38E+00,2.29E-02,Very soluble,-1.24,1.59E+01,5.71E-02,Very soluble,-2.08,2.31E+00,8.32E-03,Soluble,High,No,No,No,No,No,No,No,-8.09,0,0,0,0,0,0.55,0,0,0,3.97,0.43,Yes,no,no,-1.77
Avicennia marina,Stenocarpoquinone B,O=C1C2=C(C[C@H](O2)C(O)(C)C)C(=O)c2c1cccc2,C15H14O4,258.27,19,6,0.33,1,4,1,68.45,63.6,0,1.67,1.88,0.55,2.59,1.34,-2.66,5.64E-01,2.18E-03,Soluble,-2.62,6.20E-01,2.40E-03,Soluble,-3.57,7.00E-02,2.71E-04,Soluble,High,Yes,Yes,Yes,No,No,No,No,-6.69,0,0,0,0,0,0.85,1,0,0,3.74,0.48,no,no,no,-2.08
Avicennia marina,Marinoid D,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2C(=CC3)COC(=O)c2cc(OC)c(c(c2)OC)O)C(=O)O)[C@@H]([C@H]([C@@H]1O)O)O,C25H30O14,554.5,39,6,0.52,10,14,6,127.22,210.9,2.01,-0.85,-0.73,-1.55,-1.2,-0.46,-2.2,3.53E+00,6.36E-03,Soluble,-3.1,4.42E-01,7.98E-04,Soluble,0.11,7.09E+02,1.28E+00,Soluble,Low,No,No,No,No,No,No,No,-10.29,3,2,1,1,3,0.11,0,1,2,6.22,0.49,no,no,no,-0.07
Strobilanthes cusia,Tryptanthrin,O=C1c2nc3ccccc3c(=O)n2c2c1cccc2,C15H8N2O2,248.24,19,16,0,0,3,0,70.77,51.96,1.95,2.05,1.93,2.22,2.63,2.16,-3.29,1.26E-01,5.08E-04,Soluble,-2.77,4.22E-01,1.70E-03,Soluble,-5.09,2.00E-03,8.07E-06,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.36,0,0,0,0,0,0.55,0,0,1,2.42,0.84,no,no,no,3.28
Strobilanthes cusia,Lupeol,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,C30H50O,426.72,31,0,0.93,1,1,1,135.14,20.23,4.72,9.87,8.02,6.92,6.82,7.27,-8.64,9.83E-07,2.30E-09,Poorly soluble,-10.22,2.58E-08,6.05E-11,Insoluble,-6.74,7.69E-05,1.80E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-1.9,1,3,0,1,2,0.55,0,1,2,5.49,0.13,no,no,no,-22.1
Acorus calamus,p-Coumaric acid,OC(=O)/C=C/c1ccc(cc1)O,C9H8O3,164.16,12,6,0,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.22,1.26,-2.02,1.58E+00,9.65E-03,Soluble,-2.27,8.73E-01,5.32E-03,Soluble,-1.28,8.67E+00,5.28E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,1,0.85,0,1,1,1.61,0.47,no,no,no,0.58
Acorus calamus,Eugenol,C=CCc1ccc(c(c1)OC)O,C10H12O2,164.2,12,6,0.2,3,2,1,49.06,29.46,2.37,2.27,2.13,2.01,2.48,2.25,-2.46,5.69E-01,3.47E-03,Soluble,-2.53,4.90E-01,2.98E-03,Soluble,-2.79,2.65E-01,1.61E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.69,0,0,0,0,1,0.55,0,1,1,1.58,0.11,Yes,yes,yes,-2.78
Acorus calamus,Acoradin,COc1cc(OC)c(cc1[C@H]1[C@H](C)[C@@H]([C@@H]1c1cc(OC)c(cc1OC)OC)C)OC,C24H32O6,416.51,30,12,0.5,8,6,0,116.77,55.38,4.43,4.91,4.89,2.57,4.82,4.33,-5.28,2.17E-03,5.20E-06,Moderately soluble,-5.81,6.46E-04,1.55E-06,Moderately soluble,-6.55,1.17E-04,2.82E-07,Poorly soluble,High,Yes,No,No,No,No,Yes,No,-5.35,0,0,0,0,0,0.55,0,0,3,4.43,               O.2,no,no,no,-0.94
Acorus calamus,Camphor,O=C1C[C@@H]2C([C@@]1(C)CC2)(C)C,C10H16O,152.23,11,0,0.9,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.85,2.37,-2.16,1.04E+00,6.86E-03,Soluble,-2.18,1.00E+00,6.57E-03,Soluble,-2.6,3.83E-01,2.52E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,1,0,0,2,0.55,0,0,1,3.22,0.48,no,no,no,-3.71
Acorus calamus,beta-Asarone,C/C=C\c1cc(OC)c(cc1OC)OC,C12H16O3,208.25,15,6,0.33,4,3,0,60.82,27.69,2.97,3,2.64,1.97,2.89,2.69,-3.05,1.84E-01,8.85E-04,Soluble,-3.25,1.18E-01,5.68E-04,Soluble,-3.26,1.13E-01,5.45E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.44,0,0,0,0,0,0.55,0,0,1,2.39,0.18,Yes,yes,no,-1.94
Acorus calamus,Curcumin,COc1cc(/C=C/C(=C/C(=O)/C=C/c2ccc(c(c2)OC)O)/O)ccc1O,C21H20O6,368.38,27,12,0.1,7,6,3,103.7,96.22,3.21,3.98,3.63,1.47,3.55,3.17,-4.5,1.17E-02,3.18E-05,Moderately soluble,-5.7,7.32E-04,1.99E-06,Moderately soluble,-3.61,9.02E-02,2.45E-04,Soluble,High,No,No,No,No,Yes,No,Yes,-5.72,0,0,0,0,0,0.56,0,3,2,3.42,0.69,no,no,no,1.91
Acorus calamus,Methylisoeugenol,C/C=C/c1ccc(c(c1)OC)OC,C11H14O2,178.23,13,6,0.27,3,2,0,54.32,18.46,2.75,3.4,2.63,2.3,2.82,2.78,-3.23,1.05E-01,5.88E-04,Soluble,-3.47,6.08E-02,3.41E-04,Soluble,-3.13,1.33E-01,7.45E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-4.97,0,0,0,0,1,0.55,0,0,1,1.93,0.62,no,no,no,-0.61
